iso,date,c1,c2,c3,c4,c5,c6,cb
1139,2024.09.28,14,16,19,20,29,34,35
1137,2024.09.14,21,33,35,38,42,44,1
1135,2024.08.31,3,7,9,13,19,24,23
1133,2024.08.17,6,7,19,28,34,41,5
1131,2024.08.03,15,19,21,25,27,28,40
1129,2024.07.20,1,5,8,16,28,33,45
1127,2024.07.06,4,5,9,11,37,40,7
1125,2024.06.22,3,8,17,30,33,34,28
1123,2024.06.08,3,6,21,30,34,35,22
1121,2024.05.25,2,19,26,31,38,41,34
1119,2024.05.11,11,13,14,15,16,45,3
1117,2024.04.27,15,16,17,25,30,31,32
1115,2024.04.13,10,16,19,32,33,38,3
1113,2024.03.30,16,20,26,36,42,44,24
1111,2024.03.16,3,7,11,20,22,41,24
1109,2024.03.02,7,19,26,37,39,44,27
1107,2024.02.17,1,3,4,29,42,45,36
1105,2024.02.03,1,7,21,30,35,38,2
1103,2024.01.20,13,14,22,26,37,38,20
1101,2024.01.06,17,26,29,30,31,43,12
1099,2023.12.23,12,16,21,24,41,43,15
1097,2023.12.09,1,12,16,19,23,43,34
1095,2023.11.25,6,7,15,22,26,40,41
1093,2023.11.11,7,18,19,26,33,45,37
1091,2023.10.28,12,19,21,29,40,45,1
1089,2023.10.14,11,21,22,30,39,44,31
1087,2023.09.30,11,16,25,27,35,36,37
1085,2023.09.16,8,12,13,29,33,42,5
1083,2023.09.02,21,26,27,32,34,42,31
1081,2023.08.19,13,16,23,31,36,44,38
1079,2023.08.05,6,10,11,14,36,38,43
1077,2023.07.22,3,7,9,33,36,37,10
1075,2023.07.08,1,6,20,27,28,41,15
1073,2023.06.24,16,18,20,23,32,43,27
1071,2023.06.10,3,6,14,22,30,41,36
1069,2023.05.27,4,7,19,26,33,35,3
1067,2023.05.13,6,11,16,19,21,32,45
1065,2023.04.29,3,6,9,18,22,35,14
1063,2023.04.15,20,31,32,40,41,45,12
1061,2023.04.01,3,10,24,33,38,45,36
1059,2023.03.18,11,23,25,30,32,40,42
1057,2023.03.04,13,20,24,32,36,45,29
1055,2023.02.18,14,19,27,28,30,45,33
1053,2023.02.04,5,17,26,27,35,38,1
1051,2023.01.21,6,12,31,35,38,43,17
1049,2023.01.07,6,12,17,21,32,39,30
1047,2022.12.24,7,16,25,29,35,36,28
1045,2022.12.10,12,17,20,26,28,36,4
1043,2022.11.26,5,14,15,23,34,43,4
1041,2022.11.12,8,16,26,29,31,36,11
1039,2022.10.29,7,16,24,27,37,44,2
1037,2022.10.15,2,5,22,32,34,45,39
1035,2022.10.01,26,31,32,33,38,40,11
1033,2022.09.17,1,6,12,19,36,42,28
1031,2022.09.03,2,5,11,17,24,29,9
1029,2022.08.20,5,7,12,13,18,35,23
1027,2022.08.06,5,12,13,31,32,41,34
1025,2022.07.23,9,18,20,22,38,44,10
1023,2022.07.09,5,6,11,29,42,45,28
1021,2022.06.25,12,27,29,38,41,45,6
1019,2022.06.11,3,19,21,25,37,45,35
1017,2022.05.28,15,26,28,34,41,42,44
1015,2022.05.14,3,11,14,18,26,27,21
1013,2022.04.30,5,11,18,20,35,45,3
1011,2022.04.16,9,12,15,25,34,36,3
1009,2022.04.02,9,11,30,31,41,44,33
1007,2022.03.19,8,11,15,16,17,37,36
1005,2022.03.05,7,15,30,37,39,44,18
1003,2022.02.19,17,25,33,35,38,45,15
1001,2022.02.05,2,8,19,22,32,42,39
999,2022.01.22,13,17,18,20,42,45,41
997,2022.01.08,6,11,15,24,32,39,28
995,2021.12.25,1,3,8,24,27,35,28
993,2021.12.11,12,20,26,33,44,45,24
991,2021.11.27,2,4,25,26,36,37,28
989,2021.11.13,2,13,20,30,31,41,27
987,2021.10.30,7,10,16,28,41,42,40
985,2021.10.16,3,10,23,35,36,37,18
983,2021.10.02,5,7,13,20,21,44,33
981,2021.09.18,3,13,16,23,24,35,14
979,2021.09.04,1,7,15,32,34,42,8
977,2021.08.21,4,12,14,25,35,37,2
975,2021.08.07,1,2,11,16,39,44,32
973,2021.07.24,3,6,17,23,37,39,26
971,2021.07.10,9,11,16,21,28,36,5
969,2021.06.26,2,5,12,14,24,39,33
967,2021.06.12,1,21,25,29,34,37,36
965,2021.05.29,6,21,36,38,39,43,30
963,2021.05.15,1,18,28,31,34,43,40
961,2021.05.01,2,18,24,30,32,45,14
959,2021.04.17,2,9,10,16,35,37,1
957,2021.04.03,10,11,20,21,25,41,40
955,2021.03.20,1,9,26,28,30,41,32
953,2021.03.06,4,12,22,24,33,41,38
951,2021.02.20,3,4,15,22,28,40,10
949,2021.02.06,13,18,30,31,38,41,5
947,2021.01.23,9,18,19,30,34,40,20
945,2021.01.09,2,13,16,19,32,33,42
943,2020.12.26,10,12,18,35,42,43,39
941,2020.12.12,3,15,20,22,24,41,11
939,2020.11.28,4,8,10,16,31,36,9
937,2020.11.14,7,11,13,17,18,29,43
935,2020.10.31,1,3,30,33,36,39,12
933,2020.10.17,1,6,15,36,37,38,5
931,2020.10.03,8,21,25,38,39,44,28
929,2020.09.19,3,4,10,20,28,44,30
927,2020.09.05,10,16,18,20,25,31,6
925,2020.08.22,3,11,34,42,43,44,13
923,2020.08.08,2,6,13,17,27,43,36
921,2020.07.25,2,3,26,33,34,43,29
919,2020.07.11,7,11,12,31,33,38,5
917,2020.06.27,6,21,22,32,35,36,17
915,2020.06.13,16,19,24,33,42,44,27
913,2020.05.30,5,8,18,21,22,38,10
911,2020.05.16,1,11,17,27,35,39,31
909,2020.05.02,3,16,21,22,23,44,30
907,2020.04.18,2,5,14,28,31,32,20
905,2020.04.04,2,6,8,26,43,45,11
903,2020.03.21,7,19,23,24,36,39,30
901,2020.03.07,7,13,16,18,35,38,14
899,2020.02.22,18,21,28,35,37,42,17
897,2020.02.08,5,12,25,26,38,45,23
895,2020.01.25,19,32,37,40,41,43,45
893,2020.01.11,4,9,17,18,26,42,36
891,2019.12.28,1,4,14,18,29,37,6
889,2019.12.14,3,7,12,31,34,38,32
887,2019.11.30,19,23,28,37,42,45,2
885,2019.11.16,4,14,23,28,37,45,17
883,2019.11.02,18,34,39,43,44,45,23
881,2019.10.19,7,17,19,23,24,45,38
879,2019.10.05,2,6,11,16,25,31,3
877,2019.09.21,5,16,21,26,34,42,24
875,2019.09.07,1,15,19,23,28,42,32
873,2019.08.24,2,4,30,32,33,43,29
871,2019.08.10,21,25,30,32,40,42,31
869,2019.07.27,12,17,28,41,43,44,25
867,2019.07.13,9,15,29,34,37,39,12
865,2019.06.29,3,7,10,13,25,36,32
863,2019.06.15,10,34,38,40,42,43,32
861,2019.06.01,4,8,18,25,27,32,42
859,2019.05.18,9,13,32,38,39,43,23
857,2019.05.04,10,24,40,41,43,44,17
855,2019.04.20,20,25,31,32,36,43,3
853,2019.04.06,11,17,28,30,33,35,9
851,2019.03.23,16,20,24,28,36,39,5
849,2019.03.09,1,2,16,22,38,39,34
847,2019.02.23,5,18,30,41,43,45,13
845,2019.02.09,7,8,13,15,33,45,18
843,2019.01.26,14,26,32,36,39,42,38
841,2019.01.12,2,4,11,28,29,43,27
839,2018.12.29,9,14,17,33,36,38,20
837,2018.12.15,1,9,11,14,26,28,19
835,2018.12.01,6,8,18,35,42,43,3
833,2018.11.17,13,14,19,26,40,43,30
831,2018.11.03,5,6,16,18,37,38,17
829,2018.10.20,4,7,13,29,31,39,18
827,2018.10.06,13,16,24,25,33,36,42
825,2018.09.22,7,9,24,29,34,38,26
823,2018.09.08,9,18,20,24,27,36,12
821,2018.08.25,10,21,22,30,35,42,6
819,2018.08.11,14,15,25,28,29,30,3
817,2018.07.28,12,18,19,29,31,39,7
815,2018.07.14,2,21,28,38,42,45,30
813,2018.06.30,1,3,12,14,16,43,10
811,2018.06.16,5,10,13,21,39,43,11
809,2018.06.02,15,21,31,32,41,43,24
807,2018.05.19,14,20,23,31,37,38,27
805,2018.05.05,1,10,13,26,32,36,9
803,2018.04.21,10,11,12,18,24,42,27
801,2018.04.07,1,4,10,12,28,45,26
799,2018.03.24,2,10,14,22,32,36,41
797,2018.03.10,1,21,26,36,40,41,5
795,2018.02.24,6,7,18,19,30,38,13
793,2018.02.10,2,7,19,25,29,36,16
791,2018.01.27,3,8,19,27,30,41,12
789,2018.01.13,2,10,11,19,35,39,29
787,2017.12.30,12,15,16,20,24,30,38
785,2017.12.16,3,10,23,24,31,39,22
783,2017.12.02,6,18,31,34,38,45,20
781,2017.11.18,15,17,19,21,27,45,16
779,2017.11.04,6,21,35,36,37,41,11
777,2017.10.21,8,9,18,21,28,40,20
775,2017.10.07,12,15,18,28,34,42,9
773,2017.09.23,5,6,11,14,21,41,32
771,2017.09.09,1,9,12,23,39,43,34
769,2017.08.26,7,27,29,30,38,44,4
767,2017.08.12,9,30,34,35,39,41,21
765,2017.07.29,7,22,24,31,34,36,15
763,2017.07.15,1,3,12,21,26,41,16
761,2017.07.01,10,22,27,31,42,43,12
759,2017.06.17,5,9,12,30,39,43,24
757,2017.06.03,10,14,16,18,27,28,4
755,2017.05.20,2,8,17,24,29,31,32
753,2017.05.06,4,16,20,33,40,43,7
751,2017.04.22,1,2,15,19,24,36,12
749,2017.04.08,3,10,13,22,31,32,29
747,2017.03.25,3,12,33,36,42,45,25
745,2017.03.11,10,15,18,21,34,41,43
743,2017.02.25,8,10,13,36,37,40,6
741,2017.02.11,4,8,9,16,17,19,31
739,2017.01.28,23,27,28,38,42,43,36
737,2017.01.14,2,11,17,18,21,27,6
735,2016.12.31,6,16,37,38,41,45,18
733,2016.12.17,2,4,5,17,27,32,43
731,2016.12.03,4,10,14,15,18,22,39
729,2016.11.19,3,6,10,30,34,37,36
727,2016.11.05,1,11,21,23,34,44,24
725,2016.10.22,2,8,33,35,37,41,14
723,2016.10.08,12,14,21,30,39,43,45
721,2016.09.24,1,12,29,34,36,37,41
719,2016.09.10,4,11,20,23,32,39,40
717,2016.08.27,2,6,13,16,29,30,21
715,2016.08.13,1,7,22,33,37,40,20
713,2016.07.30,17,20,30,31,33,45,19
711,2016.07.16,3,4,9,24,25,33,10
709,2016.07.02,2,10,16,19,34,45,1
707,2016.06.18,3,4,6,10,28,30,37
705,2016.06.04,1,4,8,23,33,42,45
703,2016.05.21,3,13,16,24,26,29,9
701,2016.05.07,11,23,28,29,30,44,13
699,2016.04.23,3,11,13,21,33,37,18
697,2016.04.09,1,7,16,18,34,38,21
695,2016.03.26,7,15,20,25,33,43,12
693,2016.03.12,3,11,14,15,32,36,44
691,2016.02.27,24,25,33,34,38,39,43
689,2016.02.13,5,15,22,23,34,35,2
687,2016.01.30,7,12,15,24,25,43,13
685,2016.01.16,1,11,15,17,25,39,40
683,2016.01.02,17,23,27,35,38,43,2
681,2015.12.19,4,10,19,29,32,42,30
679,2015.12.05,4,5,6,12,25,37,45
677,2015.11.21,1,8,17,34,39,45,27
675,2015.11.07,9,10,14,25,27,31,11
673,2015.10.24,8,21,28,31,36,45,43
671,2015.10.10,11,18,26,27,40,41,25
669,2015.09.26,12,14,15,24,27,32,3
667,2015.09.12,2,4,6,11,17,28,16
665,2015.08.29,10,20,33,36,41,44,5
663,2015.08.15,5,6,9,11,15,37,26
661,2015.08.01,4,9,23,33,39,44,14
659,2015.07.18,8,19,25,28,32,36,37
657,2015.07.04,3,7,14,16,31,40,39
655,2015.06.20,16,21,26,31,36,43,6
653,2015.06.06,3,13,15,40,41,44,20
651,2015.05.23,3,4,7,11,31,41,35
649,2015.05.09,13,19,28,37,38,43,4
647,2015.04.25,2,9,24,41,43,45,30
645,2015.04.11,5,13,17,23,28,36,8
643,2015.03.28,8,17,18,24,39,45,32
641,2015.03.14,14,15,18,21,26,35,23
639,2015.02.28,7,18,22,24,31,34,6
637,2015.02.14,6,7,15,16,20,31,26
635,2015.01.31,4,10,11,12,20,27,38
633,2015.01.17,15,18,21,32,35,44,6
631,2015.01.03,8,17,21,24,27,31,15
629,2014.12.20,1,7,12,15,23,42,11
627,2014.12.06,13,14,26,33,40,43,15
625,2014.11.22,1,7,19,26,27,35,16
623,2014.11.08,9,15,16,21,28,34,24
621,2014.10.25,2,16,17,32,39,45,40
619,2014.10.11,8,16,25,30,42,43,15
617,2014.09.27,5,13,18,23,40,45,3
615,2014.09.13,8,21,25,39,40,44,18
613,2014.08.30,6,9,18,19,25,33,40
611,2014.08.16,14,18,20,23,28,36,33
